"vehicle_id","title","description","url","make","model","year","mileage.value","mileage.unit","image[0].url","image[1].url","image[2].url","image[3].url","image[4].url","image[5].url","image[6].url","image[7].url","image[8].url","image[9].url","body_style","state_of_vehicle","availability","condition","price","address","exterior_color","fuel_type","transmission","drivetrain","vehicle_type","dealer_name","dealer_phone","custom_label_0","custom_label_1","custom_label_2"
"A090","Ford Focus 2.0 SE Plus 2016","Ford Focus 2.0 SE Plus 2016 usado en Lomas del Mirador. 91.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/ford-focus-2-0-se-plus-2016/","Ford","Focus 2.0 SE Plus","2016","91000","KM","https://lmpautos.com/img/meta/A090.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A090-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A090-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A090-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","21100000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Rojo","GASOLINE","AUTOMATIC","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2016"
"A091","Chevrolet Tracker 1.8 LT 2015","Chevrolet Tracker 1.8 LT 2015 usado en Lomas del Mirador. 134.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/chevrolet-tracker-1-8-lt-2015/","Chevrolet","Tracker 1.8 LT","2015","134000","KM","https://lmpautos.com/img/meta/A091.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A091-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A091-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A091-3.jpg?v=f9296cb0dfcb","","","","","","","SUV","USED","AVAILABLE","GOOD","16400000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanca","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2015"
"A088","Peugeot 208 1.5 Active 2015","Peugeot 208 1.5 Active 2015 usado en Lomas del Mirador. 92.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/peugeot-208-1-5-active-2015/","Peugeot","208 1.5 Active","2015","92000","KM","https://lmpautos.com/img/meta/A088.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A088-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A088-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A088-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","15100000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2015"
"A083","Volkswagen Amarok 2.0 Trendline 4x4 TDI 2015","Volkswagen Amarok 2.0 Trendline 4x4 TDI 2015 usado en Lomas del Mirador. 200.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/volkswagen-amarok-2-0-trendline-4x4-tdi-2015/","Volkswagen","Amarok 2.0 Trendline 4x4 TDI","2015","200000","KM","https://lmpautos.com/img/meta/A083.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A083-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A083-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A083-3.jpg?v=f9296cb0dfcb","","","","","","","PICKUP","USED","AVAILABLE","GOOD","34400000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanca","DIESEL","AUTOMATIC","FOUR_WD","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Diesel","2015"
"A131","Renault Clio 1.2 Confort Plus 2014","Renault Clio 1.2 Confort Plus 2014 usado en Lomas del Mirador. 116.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/renault-clio-1-2-confort-plus-2014/","Renault","Clio 1.2 Confort Plus","2014","116000","KM","https://lmpautos.com/img/meta/A131.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A131-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A131-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A131-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","13300000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanco","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2014"
"A107","Volkswagen Vento 2.0 TSI Dsg Sportline 2012","Volkswagen Vento 2.0 TSI Dsg Sportline 2012 usado en Lomas del Mirador. 140.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/volkswagen-vento-2-0-tsi-dsg-sportline-2012/","Volkswagen","Vento 2.0 TSI Dsg Sportline","2012","140000","KM","https://lmpautos.com/img/meta/A107.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A107-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A107-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A107-3.jpg?v=f9296cb0dfcb","","","","","","","SEDAN","USED","AVAILABLE","GOOD","25800000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","GASOLINE","AUTOMATIC","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2012"
"A080","Renault Fluence 1.6 2011","Renault Fluence 1.6 2011 usado en Lomas del Mirador. 140.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/renault-fluence-1-6-2011/","Renault","Fluence 1.6","2011","140000","KM","https://lmpautos.com/img/meta/A080.jpg?v=f9296cb0dfcb","","","","","","","","","","SEDAN","USED","AVAILABLE","GOOD","10800000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Beige","FLEX","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta & GNC","2011"
"A126","Kia Sorento 2.2 HDI 4x4 2010","Kia Sorento 2.2 HDI 4x4 2010 usado en Lomas del Mirador. 240.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/kia-sorento-2-2-hdi-4x4-2010/","Kia","Sorento 2.2 HDI 4x4","2010","240000","KM","https://lmpautos.com/img/meta/A126.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A126-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A126-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A126-3.jpg?v=f9296cb0dfcb","","","","","","","SUV","USED","AVAILABLE","GOOD","15000000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Negro","DIESEL","MANUAL","FOUR_WD","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Diesel","2010"
"A116","Renault Sandero 1.6 Privilege 2019","Renault Sandero 1.6 Privilege 2019 usado en Lomas del Mirador. 101.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/renault-sandero-1-6-privilege-2019/","Renault","Sandero 1.6 Privilege","2019","101000","KM","https://lmpautos.com/img/meta/A116.jpg?v=f9296cb0dfcb","","","","","","","","","","HATCHBACK","USED","PENDING","GOOD","17200000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","FLEX","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Preparando","Nafta & GNC","2019"
"A082","Ford Ecosport 1.6 Titanium 2013","Ford Ecosport 1.6 Titanium 2013 usado en Lomas del Mirador. 123.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/ford-ecosport-1-6-titanium-2013/","Ford","Ecosport 1.6 Titanium","2013","123000","KM","https://lmpautos.com/img/meta/A082.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A082-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A082-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A082-3.jpg?v=f9296cb0dfcb","","","","","","","SUV","USED","AVAILABLE","GOOD","14100000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Azul","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Con descuento","Nafta","2013"
